NOMBRE_PROYECTO,ETAPA,FEC_OPCION,FECHA_DESISTIMIENTO,Entidad Financiera compra,MEDIO,VLR_VIVIENDA,PERIODO,PERIODO_AFILIADO,SEGMENTO_POBLACIONAL,CATEGORIA,RANGO_EDAD,NO_GRUPO_FAMILAR,NO_BENEFICIARIOS_CUOTA_MONETARIA,PIRAMIDE_NUEVA,EMPRESA_FOCO
Agrupacion De Vivienda Fuentevida,ETAPA 2,11/28/2024,No,Banco,Referido Alcaldía,"1,208,551,500,000",2024-11,2024-11,KAPPA,OMEGA,46 - 55 años,,,TAU,
Los Nogales,ETAPA 2,4/25/2026,No,Banco,Banderas y/o señalización,"7,544,880,000,000",2026-4,2026-4,SIGMA,ETA,36 a 45 años,2,,IOTA,
Agrupacion De Vivienda Bosque De Arrayan,,3/31/2025,Si,Colsubsidio,Sin Informacion,"2,066,922,000,000",2025-3,2025-3,KAPPA,OMEGA,20 a 35 años,1,1,TAU,
Versalles,ETAPA 1,3/3/2025,No,Banco,Redes Sociales,"2,110,000,000,000",2025-3,2025-3,KAPPA,OMEGA,20 a 35 años,5,4,TAU,
Agrupación De Vivienda Pamplona I,ETAPA 4,11/24/2025,No,Banco,Banderas y/o señalización,"2,361,000,000,000",2025-11,2025-11,KAPPA,OMEGA,20 a 35 años,1,,RHO,X
La Arboleda,ETAPA 2,11/7/2025,No,Colsubsidio,Contact Center,"1,786,492,500,000",2025-11,2025-11,NU,OMEGA,20 a 35 años,,,GAMMA,
VERDE ESPERANZA EL DORADO,ETAPA 1,11/7/2025,No,Colsubsidio,Banderas y/o señalización,"1,578,000,000,000",2025-11,2025-11,KAPPA,OMEGA,20 a 35 años,,,TAU,
VERDE ESPERANZA EL DORADO,ETAPA 1,10/28/2025,No,Colsubsidio,Banderas y/o señalización,"1,578,000,000,000",2025-10,2025-10,KAPPA,OMEGA,36 a 45 años,3,1,TAU,
Versalles,ETAPA 2,1/3/2026,No,Colsubsidio,Banderas y/o señalización,"2,312,000,000,000",2026-1,2026-1,SIGMA,OMEGA,36 a 45 años,1,1,TAU,
Agrupación De Vivienda La Macarena,3,8/3/2024,Si,Colsubsidio,Sin Informacion,"1,488,269,000,000",2024-8,2024-8,KAPPA,OMEGA,20 - 35 años,,,RHO,X
AGRUPACIÓN DE VIVIENDA BOSQUE DE TURPIAL,ETAPA 1,10/11/2025,No,Banco,Ferias empresariales,"2,101,000,000,000",2025-10,2025-10,SIGMA,OMEGA,20 a 35 años,1,1,ALPHA,
Agrupacion De Vivienda Bosque De Arrayan,,8/11/2024,Si,Banco,Sin Informacion,"2,205,000,000,000",2024-8,2024-8,NU,OMEGA,20 - 35 años,,,RHO,X
VERDE ESPERANZA EL DORADO,ETAPA 1,11/7/2025,No,Colsubsidio,Banderas y/o señalización,"1,578,000,000,000",2025-11,2025-11,SIGMA,OMEGA,36 a 45 años,2,,RHO,X
Agrupación De Vivienda Monguí,ETAPA 2,8/16/2024,No,Banco,Ferias empresariales,"1,974,394,500,000",2024-8,2024-8,NU,ETA,20 - 35 años,,,TAU,X
Agrupación De Vivienda Monguí,ETAPA 2,10/26/2025,No,Colsubsidio,Banderas y/o señalización,"1,859,091,000,000",2025-10,2025-10,SIGMA,OMEGA,36 a 45 años,,,GAMMA,
Agrupacion De Vivienda Bosque De Arrayan,ETAPA 1,10/18/2025,No,Banco,Banderas y/o señalización,"2,064,075,000,000",2025-10,2025-10,KAPPA,OMEGA,Mayor de 55 años,1,,NU,
Agrupacion De Vivienda Bosque De Arrayan,,1/22/2024,Si,Colsubsidio,Sin Informacion,"1,935,700,000,000",2024-1,2024-1,KAPPA,OMEGA,20 - 35 años,,,ZETA,
VERDE ESPERANZA EL DORADO,ETAPA 1,11/4/2025,No,Banco,Banderas y/o señalización,"1,578,000,000,000",2025-11,2025-11,KAPPA,OMEGA,Mayor de 55 años,1,,ETA,
INARI,ETAPA 1,8/31/2024,No,Banco,Banderas y/o señalización,"2,808,000,000,000",2024-8,2024-8,KAPPA,OMEGA,46 - 55 años,5,3,TAU,
VILLA FIORITA,ETAPA 3,6/14/2025,No,Colsubsidio,Activación,"2,135,250,000,000",2025-6,2025-6,KAPPA,OMEGA,20 a 35 años,,,RHO,X
Versalles,ETAPA 1,6/18/2024,No,Banco,Referido,"2,110,000,000,000",2024-6,2024-6,SIGMA,OMEGA,20 - 35 años,2,1,GAMMA,
VILLA FIORITA,ETAPA 3,6/10/2025,No,Colsubsidio,Whatsapp,"2,135,250,000,000",2025-6,2025-6,KAPPA,OMEGA,20 a 35 años,1,,NU,
VERDE ESPERANZA EL DORADO,ETAPA 1,5/23/2026,No,Banco,Banderas y/o señalización,"1,793,000,000,000",2026-5,2026-5,KAPPA,OMEGA,20 a 35 años,2,2,TAU,
La Arboleda,ETAPA 1,2/25/2025,No,Colsubsidio,Banderas y/o señalización,"1,664,071,500,000",2025-2,2025-2,NU,OMEGA,20 a 35 años,,,RHO,X
AGRUPACIÓN DE VIVIENDA SAMÁN ,ETAPA 1,5/16/2026,No,Banco,Banderas y/o señalización,"2,532,490,950,000",2026-5,2026-5,SIGMA,ETA,Mayor de 55 años,,,RHO,X
Agrupación De Vivienda Monguí,ETAPA 1,5/24/2026,No,Banco,Activación,"1,952,259,000,000",2026-5,2026-5,KAPPA,OMEGA,36 a 45 años,2,2,RHO,X
Versalles,ETAPA 1,6/15/2025,No,Colsubsidio,Banderas y/o señalización,"1,987,000,000,000",2025-6,2025-6,KAPPA,OMEGA,20 a 35 años,3,1,GAMMA,
Agrupación De Vivienda La Macarena,ETAPA 1,4/5/2024,No,Colsubsidio,Banderas y/o señalización,"1,326,000,000,000",2024-4,2024-4,NU,OMEGA,36 - 45 años,,,GAMMA,
Agrupación De Vivienda La Macarena,3,6/14/2025,Si,Colsubsidio,Sin Informacion,"1,575,815,000,000",2025-6,2025-6,SIGMA,OMEGA,20 a 35 años,1,1,RHO,X
AGRUPACIÓN DE VIVIENDA SAMÁN ,ETAPA 1,5/2/2026,No,Colsubsidio,Redes Sociales,"2,532,490,950,000",2026-5,2026-5,SIGMA,OMEGA,Mayor de 55 años,1,,GAMMA,
Agrupación De Vivienda La Macarena,,6/24/2024,Si,Colsubsidio,Sin Informacion,"1,353,300,000,000",2024-6,2024-6,KAPPA,OMEGA,46 - 55 años,1,1,TAU,
Agrupación De Vivienda Monguí,,4/10/2024,Si,Banco,Sin Informacion,"2,004,768,000,000",2024-4,2024-4,KAPPA,OMEGA,20 - 35 años,1,1,TAU,
Agrupación De Vivienda Monguí,ETAPA 1,9/2/2024,No,Banco,Banderas y/o señalización,"1,755,000,000,000",2024-9,2024-9,NU,OMEGA,20 - 35 años,0,0,NU,
VILLA FIORITA,ETAPA 2,6/18/2025,No,Banco,Activación,"2,135,250,000,000",2025-6,2025-6,SIGMA,ETA,20 a 35 años,2,1,GAMMA,
Agrupacion De Vivienda Reserva De Guayacan,ETAPA 1,6/15/2025,No,Banco,Ferias empresariales,"2,360,000,000,000",2025-6,2025-6,SIGMA,TAU,36 a 45 años,1,,RHO,
Los Nogales,ETAPA 1,5/31/2026,No,Banco,Banderas y/o señalización,"6,029,990,000,000",2026-5,2026-5,NU,TAU,36 a 45 años,,,GAMMA,
VILLA FIORITA,ETAPA 1,4/10/2024,No,Colsubsidio,Valla ,"1,950,000,000,000",2024-4,2024-4,SIGMA,OMEGA,20 - 35 años,1,1,TAU,
INARI,ETAPA 1,5/11/2026,No,Colsubsidio,Activación,"2,506,000,000,000",2026-5,2026-5,NU,OMEGA,20 a 35 años,,,GAMMA,
Agrupación De Vivienda Monguí,ETAPA 2,6/26/2024,No,Colsubsidio,Banderas y/o señalización,"1,992,900,000,000",2024-6,2024-6,SIGMA,OMEGA,46 - 55 años,,2,NU,
Agrupación De Vivienda La Macarena,ETAPA 3,9/27/2024,No,Banco,Referido,"1,498,900,000,000",2024-9,2024-9,NU,OMEGA,20 - 35 años,0,0,TAU,
Agrupacion De Vivienda Bosque De Arrayan,ETAPA 3,9/29/2024,No,Banco,,"1,913,600,000,000",2024-9,2024-9,SIGMA,OMEGA,36 - 45 años,2,1,TAU,
Agrupación De Vivienda Monguí,ETAPA 2,2/22/2026,No,Colsubsidio,Activación,"1,794,678,000,000",2026-2,2026-2,SIGMA,OMEGA,20 a 35 años,1,1,RHO,X
VILLA MERCEDES EL DORADO,ETAPA 1,2/20/2026,No,Banco,Referido Alcaldía,"1,715,000,000,000",2026-2,2026-2,KAPPA,ETA,20 a 35 años,1,,IOTA,
Agrupación De Vivienda Monguí,ETAPA 2,2/21/2026,No,Colsubsidio,Activación,"1,567,060,000,000",2026-2,2026-2,KAPPA,OMEGA,46 a 55 años,1,,TAU,
VILLA MERCEDES EL DORADO,ETAPA 1,2/27/2026,No,Banco,Referido Alcaldía,"1,715,000,000,000",2026-2,2026-2,KAPPA,ETA,Mayor de 55 años,,,IOTA,
Agrupación De Vivienda Monguí,ETAPA 2,2/16/2026,No,Colsubsidio,Banderas y/o señalización,"1,785,923,000,000",2026-2,2026-2,KAPPA,OMEGA,Menor de 19 años,,,ZETA,
VILLA MERCEDES EL DORADO,ETAPA 1,2/17/2026,No,Banco,Referido Alcaldía,"1,715,000,000,000",2026-2,2026-2,KAPPA,ETA,46 a 55 años,,,IOTA,
Proyecto Karakalí,ETAPA 1,10/9/2024,No,Banco,Banderas y/o señalización,"2,451,267,000,000",2024-10,2024-10,NU,ETA,20 - 35 años,,,RHO,X
Agrupación De Vivienda Monguí,ETAPA 2,2/22/2026,No,Banco,Activación,"1,584,569,000,000",2026-2,2026-2,SIGMA,ETA,46 a 55 años,1,1,ALPHA,
CONJUNTO RESIDENCIAL VIBO ONCE,ETAPA 1,2/13/2026,No,Colsubsidio,Banderas y/o señalización,"2,813,000,000,000",2026-2,2026-2,SIGMA,ETA,36 a 45 años,2,1,ALPHA,
INARI,ETAPA 1,2/6/2024,No,Banco,Banderas y/o señalización,"2,916,000,000,000",2024-2,2024-2,KAPPA,OMEGA,46 - 55 años,,,TAU,
Agrupación De Vivienda Monguí,,2/3/2024,Si,Colsubsidio,Sin Informacion,"1,917,454,500,000",2024-2,2024-2,NU,OMEGA,20 - 35 años,,,ZETA,
Los Nogales,ETAPA 1,2/10/2024,No,Banco,Ferias empresariales,"5,183,822,680,000",2024-2,2024-2,SIGMA,TAU,36 - 45 años,2,,ALPHA,
La Arboleda,ETAPA 1,5/7/2024,No,Colsubsidio,Banderas y/o señalización,"1,631,500,000,000",2024-5,2024-5,NU,OMEGA,20 - 35 años,,,RHO,X
Agrupacion De Vivienda Reserva De Guayacan,ETAPA 1,12/15/2024,No,Banco,Página web ,"2,360,000,000,000",2024-12,2024-12,KAPPA,OMEGA,36 - 45 años,,,GAMMA,
AGRUPACIÓN DE VIVIENDA BOSQUE DE TURPIAL,ETAPA 1,12/22/2024,No,Colsubsidio,Banderas y/o señalización,"2,311,190,000,000",2024-12,2024-12,NU,ETA,20 - 35 años,,,RHO,X
Agrupación De Vivienda Pamplona I,ETAPA 1,2/3/2024,No,Banco,Banderas y/o señalización,"2,064,075,000,000",2024-2,2024-2,KAPPA,OMEGA,36 - 45 años,4,2,TAU,
Versalles,,12/28/2024,Si,Banco,Sin Informacion,"2,110,000,000,000",2024-12,2024-12,KAPPA,OMEGA,36 - 45 años,,,TAU,
AGRUPACIÓN DE VIVIENDA BOSQUE DE TURPIAL,ETAPA 1,12/17/2024,No,Banco,Página web ,"2,311,190,000,000",2024-12,2024-12,KAPPA,OMEGA,20 - 35 años,,,TAU,
Agrupacion De Vivienda Bosque De Arrayan,ETAPA 3,3/6/2026,No,Banco,Banderas y/o señalización,"2,034,180,000,000",2026-3,2026-3,KAPPA,OMEGA,Menor de 19 años,,,GAMMA,
Agrupación De Vivienda Monguí,ETAPA 2,3/14/2026,No,Colsubsidio,Contact Center,"1,567,060,000,000",2026-3,2026-3,KAPPA,OMEGA,36 a 45 años,1,1,ZETA,
Agrupación De Vivienda Pamplona I,ETAPA 3,6/26/2026,No,Banco,Banderas y/o señalización,"2,200,000,000,000",2026-6,2026-6,NU,OMEGA,20 a 35 años,,,GAMMA,
VERDE ESPERANZA EL DORADO,ETAPA 1,12/12/2025,No,Colsubsidio,Banderas y/o señalización,"1,753,000,000,000",2025-12,2025-12,KAPPA,OMEGA,Mayor de 55 años,2,,ETA,
ARAUCARIA,ETAPA 1,12/21/2025,No,Banco,Activación,"6,254,000,000,000",2025-12,2025-12,SIGMA,ETA,20 a 35 años,1,,TAU,
Los Nogales,ETAPA 1,12/13/2025,No,Contado,Activación,"5,320,420,000,000",2025-12,2025-12,SIGMA,TAU,46 a 55 años,1,,ALPHA,
Agrupación De Vivienda Monguí,ETAPA 2,12/21/2025,No,Colsubsidio,Referido,"1,979,590,000,000",2025-12,2025-12,SIGMA,OMEGA,20 a 35 años,2,2,GAMMA,
Agrupación De Vivienda Monguí,ETAPA 2,12/14/2025,No,Colsubsidio,Banderas y/o señalización,"1,836,187,000,000",2025-12,2025-12,NU,OMEGA,36 a 45 años,,,GAMMA,
ARAUCARIA,ETAPA 1,12/20/2025,No,Banco,Banderas y/o señalización,"6,067,000,000,000",2025-12,2025-12,SIGMA,ETA,36 a 45 años,1,1,TAU,
La Arboleda,ETAPA 1,3/17/2024,No,Banco,Banderas y/o señalización,"1,641,295,500,000",2024-3,2024-3,NU,OMEGA,20 - 35 años,,,GAMMA,
Agrupación De Vivienda Monguí,ETAPA 2,3/24/2024,No,Contado,Banderas y/o señalización,"1,777,951,500,000",2024-3,2024-3,SIGMA,OMEGA,46 - 55 años,2,,GAMMA,
La Arboleda,ETAPA 2,3/27/2024,No,Banco,Banderas y/o señalización,"1,972,971,000,000",2024-3,2024-3,KAPPA,OMEGA,20 - 35 años,,,TAU,
Agrupación De Vivienda La Macarena,ETAPA 4,4/26/2026,No,Colsubsidio,Banderas y/o señalización,"1,584,569,000,000",2026-4,2026-4,KAPPA,OMEGA,20 a 35 años,2,2,GAMMA,X
Agrupación De Vivienda La Macarena,ETAPA 2,4/29/2026,No,Colsubsidio,Banderas y/o señalización,"1,584,569,000,000",2026-4,2026-4,NU,ETA,20 a 35 años,,,RHO,X
Agrupacion De Vivienda Reserva De Guayacan,ETAPA 1,4/25/2026,No,Banco,Ferias empresariales,"1,754,000,000,000",2026-4,2026-4,NU,OMEGA,20 a 35 años,,,RHO,X
VERDE ESPERANZA EL DORADO,ETAPA 1,9/19/2025,No,Banco,Valla ,"1,578,000,000,000",2025-9,2025-9,NU,OMEGA,20 a 35 años,,,GAMMA,
VERDE ESPERANZA EL DORADO,ETAPA 1,9/28/2025,No,Banco,Banderas y/o señalización,"1,578,000,000,000",2025-9,2025-9,KAPPA,OMEGA,20 a 35 años,1,1,TAU,
Agrupación De Vivienda Monguí,ETAPA 3,4/26/2026,No,Banco,Banderas y/o señalización,"1,961,014,000,000",2026-4,2026-4,KAPPA,OMEGA,36 a 45 años,2,2,TAU,
Proyecto Karakalí,ETAPA 1,4/24/2026,No,Banco,Ferias empresariales,"2,363,721,750,000",2026-4,2026-4,KAPPA,OMEGA,20 a 35 años,,,TAU,
AGRUPACIÓN DE VIVIENDA BOSQUE DE TURPIAL,ETAPA 1,8/23/2025,No,Colsubsidio,Activación,"2,311,190,000,000",2025-8,2025-8,NU,OMEGA,20 a 35 años,,,TAU,
AGRUPACIÓN DE VIVIENDA SAMÁN ,ETAPA 1,4/26/2026,No,Banco,Ferias empresariales,"2,532,490,950,000",2026-4,2026-4,NU,OMEGA,20 a 35 años,,,TAU,
AGRUPACIÓN DE VIVIENDA BOSQUE DE TURPIAL,ETAPA 1,8/24/2025,No,Colsubsidio,Activación,"2,311,000,000,000",2025-8,2025-8,NU,OMEGA,20 a 35 años,,,TAU,
Versalles,ETAPA 1,4/26/2026,No,Banco,Banderas y/o señalización,"2,110,000,000,000",2026-4,2026-4,SIGMA,OMEGA,46 a 55 años,1,,TAU,
VERDE ESPERANZA EL DORADO,ETAPA 1,9/30/2025,No,Colsubsidio,Valla ,"1,578,000,000,000",2025-9,2025-9,KAPPA,OMEGA,Mayor de 55 años,1,,TAU,
Proyecto Karakalí,ETAPA 1,4/26/2026,No,Banco,Activación,"2,363,721,750,000",2026-4,2026-4,NU,ETA,20 a 35 años,,,RHO,X
Agrupación De Vivienda Monguí,ETAPA 3,4/26/2026,No,Colsubsidio,Banderas y/o señalización,"1,584,569,000,000",2026-4,2026-4,KAPPA,OMEGA,36 a 45 años,,,GAMMA,
La Arboleda,ETAPA 4,4/26/2026,No,Colsubsidio,Activación,"1,976,071,000,000",2026-4,2026-4,KAPPA,OMEGA,36 a 45 años,,,GAMMA,
VERDE ESPERANZA EL DORADO,ETAPA 1,9/29/2025,No,Colsubsidio,Valla ,"1,578,000,000,000",2025-9,2025-9,SIGMA,OMEGA,20 a 35 años,1,1,GAMMA,
Agrupación De Vivienda Monguí,ETAPA 2,8/31/2025,No,Colsubsidio,Banderas y/o señalización,"1,921,725,000,000",2025-8,2025-8,NU,OMEGA,20 a 35 años,,,NU,
Agrupacion De Vivienda Bosque De Arrayan,ETAPA 4,4/22/2026,No,Colsubsidio,Banderas y/o señalización,"2,205,000,000,000",2026-4,2026-4,KAPPA,OMEGA,20 a 35 años,,,NU,
Agrupación De Vivienda La Macarena,ETAPA 4,4/26/2026,No,Colsubsidio,Activación,"1,567,060,000,000",2026-4,2026-4,KAPPA,OMEGA,36 a 45 años,1,1,TAU,
Agrupación De Vivienda Monguí,ETAPA 2,1/16/2026,No,Colsubsidio,Banderas y/o señalización,"1,836,187,000,000",2026-1,2026-1,NU,OMEGA,20 a 35 años,,,RHO,X
Agrupacion De Vivienda Bosque De Arrayan,ETAPA 4,1/28/2026,No,Colsubsidio,Banderas y/o señalización,"2,205,000,000,000",2026-1,2026-1,SIGMA,OMEGA,20 a 35 años,2,1,GAMMA,
Agrupación De Vivienda Monguí,ETAPA 1,1/21/2024,No,Banco,Banderas y/o señalización,"1,722,500,000,000",2024-1,2024-1,SIGMA,OMEGA,36 - 45 años,1,1,GAMMA,
Agrupación De Vivienda Pamplona I,ETAPA 4,1/11/2026,No,Colsubsidio,Banderas y/o señalización,"2,361,000,000,000",2026-1,2026-1,NU,OMEGA,20 a 35 años,,,GAMMA,
La Arboleda,,8/4/2024,Si,Banco,Sin Informacion,"1,676,883,000,000",2024-8,2024-8,KAPPA,OMEGA,36 - 45 años,1,1,GAMMA,
Agrupación De Vivienda La Macarena,ETAPA 3,11/9/2025,No,Banco,Redes Sociales,"1,423,500,000,000",2025-11,2025-11,KAPPA,OMEGA,20 a 35 años,1,,NU,
Agrupacion De Vivienda Bosque De Arrayan,,1/24/2024,Si,Colsubsidio,Sin Informacion,"1,933,100,000,000",2024-1,2024-1,SIGMA,OMEGA,20 - 35 años,2,,NU,
Agrupación De Vivienda La Macarena,ETAPA 3,1/30/2024,No,Colsubsidio,Banderas y/o señalización,"1,528,839,000,000",2024-1,2024-1,KAPPA,OMEGA,20 - 35 años,3,1,TAU,
INARI,1,8/30/2024,Si,Banco,Sin Informacion,"2,808,000,000,000",2024-8,2024-8,KAPPA,OMEGA,Mayor de 55 años,,,TAU,
Agrupacion De Vivienda Payande,ETAPA 2,1/22/2024,No,Colsubsidio,Ferias empresariales,"1,755,000,000,000",2024-1,2024-1,KAPPA,OMEGA,Mayor de 55 años,,,TAU,
Agrupación De Vivienda La Macarena,3,6/13/2025,Si,Colsubsidio,Sin Informacion,"1,575,815,000,000",2025-6,2025-6,KAPPA,OMEGA,36 a 45 años,,,MU,
Agrupacion De Vivienda Payande,ETAPA 3,6/16/2024,No,Colsubsidio,Ferias empresariales,"1,594,710,000,000",2024-6,2024-6,SIGMA,OMEGA,36 - 45 años,1,1,ALPHA,
AGRUPACIÓN DE VIVIENDA BOSQUE DE TURPIAL,ETAPA 2,6/13/2025,No,Colsubsidio,Banderas y/o señalización,"2,807,000,000,000",2025-6,2025-6,SIGMA,OMEGA,20 a 35 años,1,1,ALPHA,
Agrupación De Vivienda Monguí,ETAPA 1,6/28/2025,No,Colsubsidio,Banderas y/o señalización,"1,877,596,500,000",2025-6,2025-6,NU,OMEGA,20 a 35 años,,,GAMMA,X
INARI,ETAPA 1,6/25/2025,No,Colsubsidio,Activación,"2,506,000,000,000",2025-6,2025-6,KAPPA,OMEGA,20 a 35 años,,,RHO,X
Proyecto Karakalí,ETAPA 1,5/5/2025,No,Banco,Referido,"2,451,267,000,000",2025-5,2025-5,NU,ETA,20 a 35 años,,,RHO,
Agrupación De Vivienda La Macarena,3,6/15/2025,Si,Colsubsidio,Sin Informacion,"1,497,024,000,000",2025-6,2025-6,KAPPA,OMEGA,20 a 35 años,1,1,NU,
Proyecto Karakalí,ETAPA 1,5/16/2026,No,Colsubsidio,Ferias empresariales,"2,363,721,750,000",2026-5,2026-5,NU,ETA,20 a 35 años,,,GAMMA,
INARI,ETAPA 1,5/31/2026,No,Colsubsidio,Activación,"2,506,000,000,000",2026-5,2026-5,SIGMA,OMEGA,Mayor de 55 años,1,,GAMMA,
Agrupación De Vivienda Pamplona I,ETAPA 1,5/26/2026,No,Colsubsidio,Banderas y/o señalización,"2,100,000,000,000",2026-5,2026-5,KAPPA,OMEGA,36 a 45 años,2,1,GAMMA,
Agrupación De Vivienda La Macarena,ETAPA 4,5/16/2026,No,Colsubsidio,Banderas y/o señalización,"1,488,269,000,000",2026-5,2026-5,KAPPA,OMEGA,Menor de 19 años,,,TAU,
Agrupacion De Vivienda Bosque De Arrayan,ETAPA 4,6/18/2025,No,Colsubsidio,Banderas y/o señalización,"1,909,055,850,000",2025-6,2025-6,SIGMA,OMEGA,20 a 35 años,1,1,ZETA,
Versalles,ETAPA 1,5/30/2026,No,Banco,Banderas y/o señalización,"1,987,000,000,000",2026-5,2026-5,NU,ETA,20 a 35 años,,,GAMMA,
La Arboleda,ETAPA 2,6/14/2025,No,Banco,Banderas y/o señalización,"1,790,763,000,000",2025-6,2025-6,KAPPA,OMEGA,20 a 35 años,1,1,TAU,
Conjunto Residencial Campo Alegre El Dorado,2,9/13/2024,Si,Banco,Sin Informacion,"1,118,728,650,000",2024-9,2024-9,KAPPA,OMEGA,20 - 35 años,1,1,TAU,
Agrupacion De Vivienda Bosque De Arrayan,ETAPA 3,6/14/2025,No,Colsubsidio,Banderas y/o señalización,"2,205,000,000,000",2025-6,2025-6,NU,ETA,20 a 35 años,,,RHO,X
Agrupacion De Vivienda Payande,ETAPA 3,2/28/2025,No,Banco,Redes Sociales,"1,679,375,000,000",2025-2,2025-2,KAPPA,OMEGA,Menor de 19 años,,,GAMMA,
Agrupación De Vivienda La Macarena,ETAPA 1,4/30/2024,No,Colsubsidio,Referido,"1,344,200,000,000",2024-4,2024-4,KAPPA,OMEGA,20 - 35 años,,,GAMMA,
Agrupación De Vivienda Monguí,ETAPA 2,4/19/2024,No,Banco,Banderas y/o señalización,"1,790,763,000,000",2024-4,2024-4,KAPPA,OMEGA,36 - 45 años,,,NU,
Proyecto Karakalí,ETAPA 1,6/22/2024,No,Banco,Ferias empresariales,"2,616,000,000,000",2024-6,2024-6,SIGMA,ETA,36 - 45 años,,,RHO,
AGRUPACIÓN DE VIVIENDA SAMÁN ,ETAPA 1,6/15/2025,No,Colsubsidio,Activación,"2,550,000,000,000",2025-6,2025-6,SIGMA,ETA,20 a 35 años,2,2,GAMMA,X
Los Nogales,2,9/9/2024,Si,Banco,Sin Informacion,"5,811,651,100,000",2024-9,2024-9,SIGMA,TAU,46 - 55 años,0,0,RHO,X
Proyecto Karakalí,ETAPA 1,5/18/2025,No,Colsubsidio,Banderas y/o señalización,"2,451,267,000,000",2025-5,2025-5,NU,ETA,20 a 35 años,,,RHO,X
AGRUPACIÓN DE VIVIENDA BOSQUE DE TURPIAL,,6/15/2025,Si,Colsubsidio,Sin Informacion,"2,562,000,000,000",2025-6,2025-6,SIGMA,OMEGA,20 a 35 años,1,1,NU,
INARI,ETAPA 1,2/13/2025,No,Banco,Banderas y/o señalización,"2,506,000,000,000",2025-2,2025-2,KAPPA,OMEGA,20 a 35 años,,,NU,
Proyecto Karakalí,ETAPA 1,6/17/2024,No,Colsubsidio,Ferias empresariales,"2,451,267,000,000",2024-6,2024-6,SIGMA,ETA,36 - 45 años,2,1,GAMMA,
Agrupación De Vivienda Monguí,ETAPA 1,5/3/2026,No,Banco,Banderas y/o señalización,"1,575,815,000,000",2026-5,2026-5,NU,OMEGA,20 a 35 años,,,TAU,
Agrupacion De Vivienda Bosque De Arrayan,,6/16/2024,Si,Colsubsidio,Sin Informacion,"2,051,260,000,000",2024-6,2024-6,KAPPA,OMEGA,36 - 45 años,1,,TAU,
Versalles,ETAPA 1,2/25/2025,No,Banco,Referido,"2,171,000,000,000",2025-2,2025-2,SIGMA,ETA,20 a 35 años,1,,IOTA,
Agrupación De Vivienda Monguí,ETAPA 2,2/20/2026,No,Banco,Banderas y/o señalización,"1,785,923,000,000",2026-2,2026-2,KAPPA,OMEGA,20 a 35 años,,,ALPHA,
VILLA MERCEDES EL DORADO,ETAPA 1,2/14/2026,No,Colsubsidio,Referido Alcaldía,"1,715,000,000,000",2026-2,2026-2,KAPPA,OMEGA,36 a 45 años,1,1,TAU,
VERDE ESPERANZA EL DORADO,ETAPA 1,2/24/2026,No,Banco,Banderas y/o señalización,"1,753,000,000,000",2026-2,2026-2,KAPPA,OMEGA,36 a 45 años,1,1,TAU,
Agrupación De Vivienda Monguí,ETAPA 2,2/23/2026,No,Banco,Banderas y/o señalización,"1,567,060,000,000",2026-2,2026-2,KAPPA,OMEGA,20 a 35 años,2,2,TAU,
Agrupación De Vivienda Monguí,ETAPA 2,2/24/2026,No,Colsubsidio,Banderas y/o señalización,"1,584,569,000,000",2026-2,2026-2,NU,OMEGA,20 a 35 años,,,NU,
Agrupacion De Vivienda Bosque De Arrayan,ETAPA 3,2/17/2026,No,Colsubsidio,Banderas y/o señalización,"2,205,000,000,000",2026-2,2026-2,SIGMA,OMEGA,36 a 45 años,1,1,RHO,X
Versalles,ETAPA 1,10/11/2024,No,Banco,Referido,"1,987,000,000,000",2024-10,2024-10,NU,OMEGA,20 - 35 años,,,GAMMA,
VILLA MERCEDES EL DORADO,ETAPA 1,2/19/2026,No,Banco,Referido Alcaldía,"1,715,000,000,000",2026-2,2026-2,KAPPA,OMEGA,46 a 55 años,,,TAU,
VILLA MERCEDES EL DORADO,ETAPA 1,2/16/2026,No,Banco,Referido Alcaldía,"1,715,000,000,000",2026-2,2026-2,KAPPA,OMEGA,36 a 45 años,,,TAU,
Agrupación De Vivienda Monguí,ETAPA 2,2/24/2024,No,Colsubsidio,Banderas y/o señalización,"2,041,940,000,000",2024-2,2024-2,KAPPA,OMEGA,20 - 35 años,1,,GAMMA,
AGRUPACIÓN DE VIVIENDA BOSQUE DE TURPIAL,ETAPA 1,5/27/2024,No,Banco,Referido,"2,311,000,000,000",2024-5,2024-5,KAPPA,OMEGA,20 - 35 años,1,1,TAU,
Agrupación De Vivienda Pamplona I,ETAPA 2,3/14/2026,No,Banco,Banderas y/o señalización,"1,786,000,000,000",2026-3,2026-3,KAPPA,OMEGA,36 a 45 años,1,1,NU,
Agrupación De Vivienda La Macarena,ETAPA 4,3/28/2026,No,Banco,Banderas y/o señalización,"1,584,569,000,000",2026-3,2026-3,KAPPA,OMEGA,20 a 35 años,,,TAU,
Agrupación De Vivienda Monguí,ETAPA 2,3/14/2026,No,Colsubsidio,Contact Center,"1,794,678,000,000",2026-3,2026-3,KAPPA,OMEGA,20 a 35 años,,,GAMMA,X
Versalles,ETAPA 1,3/15/2026,No,Banco,Banderas y/o señalización,"2,122,000,000,000",2026-3,2026-3,KAPPA,OMEGA,36 a 45 años,3,2,RHO,X
